"REFNO","ROCKUNITNO","ROCKNAME","PLACE","CONTINENT","TERRANE","RLAT","RLONG","ROCKTYPE","STRATA","STRATAGE","LATSPREAD","LOWAGE","HIGHAGE","METHOD","ISOTOPEDATA","STRUCTURE","STATUS"
"880","3840","Siberian Traps","Lena River, Russia","Asia","Siberian Platform","59.5","112.0","extrusives",,"T2",,"243","245","40Ar/39Ar","40Ar/39Ar age 244+/-1 Ma - see REFNO 2735",,"Superseded study"
"954","3841","Omolon Massif Sediments","Omolon Massif, Far East Russia","Asia","Kolyma","63.0","159.0","sediments,sandstones,siltstones,clays","Norian","T3",,"204","217","fossils",,,
"933","3842","Omolon Massif Sediments","Omolon Massif, Far East Russia","Asia","Kolyma","63.0","159.0","sediments,limestones,siltstones,clays","Early Carnian to Olenek","T",,"217","250","fossils",,,
"1989","3843","Vyatka River Sediments","Vyatka River, Russia","Europe","Russian Platform","60.0","50.0","sediments, redbeds","Olenek","T1",,"245","250","fossils",,,
"1989","3844","Vyatka River Sediments","Vyatka River, Russia","Europe","Russian Platform","59.0","51.0","sediments, redbeds","Induan","T1",,"250","251","fossils",,,"Superseded study"
"491","3845","Vyatka River Sediments","Vyatka River, Russia","Europe","Russian Platform","59.0","51.0","sediments, redbeds","Induan","T1",,"250","251","fossils",,,"Superseded study"
"491","3846","Vyatka River Sediments Combined","Vyatka River, Russia","Europe","Russian Platform","59.0","51.0","sediments, redbeds","Induan","T1",,"250","251","fossils",,,
"1989","3847","Romashka, Tananyk and Buzuluk Groups","Obshchii Syrt, Russia","Europe","Russian Platform","53.0","52.0","sediments, redbeds",,"T1","50 km","245","251","fossils",,,"Superseded study"
"491","3848","Buzuluk Group","Buzuluk Mountain, Russia","Europe","Russian Platform","53.0","52.0","sediments, redbeds",,"T1",,"245","251","fossils",,,"Superseded study"
"491","3849","Romashka, Tananyk and Buzuluk Groups Combined","Obshchii Syrt, Russia","Europe","Russian Platform","53.0","52.0","sediments, redbeds",,"T1",,"245","251","fossils",,,"Superseded study"
"1990","3850","Siberian Traps Norilsk Plateau Combined","Norilsk Plateau, Russia","Asia","Siberian Platform","69.0","88.0","extrusives,basalts,picrites",,"T2",,"243","245","40Ar/39Ar","40Ar/39Ar age 244+/-1 Ma - see REFNO 2735",,"Superseded study"
"1991","3851","Siberian Traps","Norilsk Area, Russia","Asia","Siberian Platform","69.5","88.0","extrusives",,"T2",,"243","245","40Ar/39Ar","40Ar/39Ar age 244+/-1 Ma - see REFNO 2735",,"Superseded study"
"1990","3852","Norilsk Region Intrusives","Norilsk Area, Russia","Asia","Siberian Platform","69.0","88.0","intrusives,gabbros,dolerites",,"T1",,"245","251","stratigraphic",,,"Superseded study"
"491","3853","Norilsk Region Intrusives Combined","Norilsk Area, Russia","Asia","Siberian Platform","69.0999985","88.0","intrusives,gabbros,dolerites",,"T1",,"245","251","stratigraphic",,,"Superseded study"
"1992","3854","Tungus Synclise Intrusives","Tungus Synclise, Russia","Asia","Siberian Platform","68.0","89.0","intrusives, dolerites, gabbros",,"P-T1","25 km","245","299","stratigraphic",,,"Superseded study"
"1993","3855","Angara Region Intrusives","Angara Region, Russia","Asia","Siberian Platform","58.5","99.0","intrusives, dolerites",,"T1",,"241","245","stratigraphic",,,"Superseded study"
"1988","3856","Mid Vilyui Region Tuffs","Mid Vilyui Region, Russia","Asia","Siberian Platform","63.5","111.5","extrusives,sediments,tuffs",,"T1",,"241","245","stratigraphic",,,
"1988","3857","Siberian Traps","Anabar-Udzha Region, Russia","Asia","Siberian Platform","72.0","114.0","extrusives, basalts",,"T1","0.5 km","243","245","40Ar/39Ar","40Ar/39Ar age 244+/-1 Ma - see REFNO 2735",,
"1988","3858","Lena Region Tuffs","Lena Region, Russia","Asia","Siberian Platform","70.0","123.5","extrusives,sediments,tuffs",,"T1","4 km","241","245","stratigraphic",,,
"1995","3859","Nizhnemaltzevo Group","Kuzbass, Russia","Asia","Altai-Sayan","54.2000008","87.3000031","extrusives, basalts",,"T1",,"241","245","fossils",,,"Superseded study"
"1996","3860","Siberian Traps Tungus Synclise Combined","Tungus Synclise, Russia","Asia","Siberian Platform","67.8000031","92.0999985","extrusives, basalts",,"T2","250X100 sq km","243","245","40Ar/39Ar","40Ar/39Ar age 244+/-1 Ma - see REFNO 2735",,
"1996","3861","Siberian Traps","Tungus Synclise, Russia","Asia","Siberian Platform","69.5","91.0","extrusives, basalts",,"T2",,"243","245","40Ar/39Ar","40Ar/39Ar age 244+/-1 Ma - see REFNO 2735",,"Superseded study"
"1998","3862","Taimyr Baked Argillites","Taimyr, Russia","Asia","Siberian Platform","69.5","91.0","extrusives, baked contacts",,"T1",,"245","251","fossils",,,"Superseded study"
"947","3863","Siberian Traps and Baked Sediments Combined","Tungus Synclise, Russia","Asia","Siberian Platform","69.3000031","91.0","extrusives, basalts, baked contact clays",,"T2",,"243","245","40Ar/39Ar","40Ar/39Ar age 244+/-1 Ma - see REFNO 2735",,
"1997","3864","Ygyattin Region Intrusives","Ygyattin Region, Russia","Asia","Siberian Platform","64.0999985","114.699997","intrusives, dolerites",,"P-T1","50 km","245","299","stratigraphic",,,"Superseded study"
"1997","3865","Ygyattin Region Intrusives","Ygyattin Region, Russia","Asia","Siberian Platform","63.7000008","115.400002","intrusives, dolerites",,"P-T1","60 km","245","299","stratigraphic",,,"Superseded study"
"1997","3866","Morcoca River Intrusives","Morcoca River, Russia","Asia","Siberian Platform","65.1999969","111.199997","intrusives, dolerites",,"P1-2","40 km","258","280","K-Ar","K-Ar age 258, 271+/-25, 280 Ma",,"Superseded study"
"1997","3867","Morcoca River Intrusives","Morcoca River, Russia","Asia","Siberian Platform","65.5999985","110.5","intrusives, dolerites",,"P-T1","30 km","245","299","stratigraphic",,,"Superseded study"
"1997","3868","Markha Region Volcanics and Intrusions Combined","Markha Region, Russia","Asia","Siberian Platform","66.0999985","111.599998","intrusives, dolerites",,"P-T1",,"245","299","stratigraphic",,,
"1997","3869","Olenek Region Intrusions","Olenek Region, Russia","Asia","Siberian Platform","70.4000015","120.699997","intrusives, dolerites",,"P-T",,"200","299","stratigraphic",,,
"1997","3870","Olenek Region Intrusions","Olenek Region, Russia","Asia","Siberian Platform","70.3000031","119.5","intrusives, dolerites",,"D3-C1",,"345","375","K-Ar","K-Ar age 360+/-15 Ma",,
"2001","3871","Omolon Massif Sediments","Omolon Massif, Far East Russia","Asia","Kolyma","65.0","159.0","sediments,sandstones,siltstones,clays","Carnian to Norian","T3",,"204","228","fossils",,,"Superseded study"
"2002","3872","Omolon Massif Sediments","Omolon Massif, Far East Russia","Asia","Kolyma","65.1999969","159.0","sediments,limestones,sandstones,clays","Carnian","T3",,"217","228","fossils",,,"Superseded study"
"595","3873","Omolon Massif Sediments Combined","Omolon Massif, Far East Russia","Asia","Kolyma","65.0","159.0","sediments,limestones,sandstones,clays",,"T3",,"200","228","fossils",,,
"2003","3874","Donbass Intrusions","Donbass, Ukraine","Europe","Russian Platform","48.0","38.0","intrusives, diorites, lamprphyres",,"P3-T2","20X20 sq km","234","258","K-Ar","K-Ar age 216+/-8 (N), 246+/-12 (R) Ma",,
"2004","3875","Adamovo Massif Granites","South Urals, Russia","Europe",,"51.7000008","59.5","intrusives, granites",,"P1-3","50 km","255","297","K-Ar","K-Ar age 255-297 Ma",,"Superseded study"
"2005","3876","Kyzylnura Group","West Tien Shan, Uzbekistan","Asia",,"41.0","70.0","extrusives,intrusives,porphyries,tuffs",,"T1",,"245","251","fossils",,,"Superseded study"
"2006","3877","Taimyr Basalts","Taimyr, Russia","Asia","Taimyr","68.5","91.0","extrusives, basalts",,"P2-T1",,"234","266","K-Ar","K-Ar age 250+/-16 Ma",,
"2007","3878","Irkutz Ores","Irkutz Amphitheatre, Russia","Asia","Siberian Platform","56.0","102.0","sediments, ores",,"T1",,"245","251","stratigraphic",,,
"2008","3879","Irkutz Mineralised Sediments","Irkutz Amphitheatre, Russia","Asia","Siberian Platform","58.0","115.0","sediments, ores",,"T1",,"245","251","stratigraphic",,,"Superseded study"
"2009","3880","Olenek River Intrusions","Olenek River, Russia","Asia","Siberian Platform","67.0","110.5","intrusives, gabbros, dolerites",,"T2-3","15 km","205","235","K-Ar","K-Ar age 220 Ma",,"Superseded study"
"2010","3881","Armenian Sediments","Armenia","Middle East",,"39.9000015","44.7999992","sediments",,"T2-3",,"200","245","stratigraphic",,,
"2013","3882","Luza River Sediments","Luza River, Russia","Europe","Russian Platform","60.5999985","49.0","sediments, clays",,"T1",,"245","251","stratigraphic",,,
"2013","3883","Luza River Sediments","Luza River, Russia","Europe","Russian Platform","60.2999992","48.2999992","sediments,sandstones,siltstones,clays",,"T1","50 km","245","251","fossils",,,
"2014","3884","Vetluga River Sediments","Vetluga River, Russia","Europe","Russian Platform","58.0","46.0","sediments, redbeds","Induan","T1",,"250","251","fossils",,,"Superseded study"
"2015","3885","Vetluga River Sediments","Vetluga River, Russia","Europe","Russian Platform","58.0","46.0","sediments, redbeds","Induan","T1",,"250","251","fossils",,,"Superseded study"
"968","3886","Vetluga River Sediments Combined","Vetluga River, Russia","Europe","Russian Platform","58.0","46.0","sediments, redbeds","Induan","T1",,"250","251","fossils",,,
"2016","3887","Vetluga River Sediments","Vetluga River, Russia","Europe","Russian Platform","57.0","45.0","sediments, redbeds","Induan","T1",,"250","251","fossils",,,"Superseded study"
"2015","3888","Vetluga River Sediments","Vetluga River, Russia","Europe","Russian Platform","57.0","45.0","sediments, redbeds","Induan","T1",,"250","251","fossils",,,"Superseded study"
"968","3889","Vetluga River Sediments Combined","Vetluga River, Russia","Europe","Russian Platform","57.0","45.0","sediments, redbeds","Induan","T1",,"250","251","fossils",,,
"2017","3890","Mangishlack Sediments","Mangishlack, Kazakhstan","Asia","West Kazakhstan","45.2999992","52.0","sediments,sandstones,siltstones,clays",,"P3-T1",,"245","260","stratigraphic",,,
"2010","3891","Lesser Caucasus Sediments","Lesser Caucasus, Armenia","Middle East",,"40.0","45.0","sediments,limestones",,"P3-T1",,"245","260","stratigraphic",,,
"968","3892","Siberian Traps and Tuffs Combined","Lower Tunguska River, Russia","Asia","Siberian Platform","62.7999992","107.300003","extrusives, tuffs",,"T2","80 km","243","245","40Ar/39Ar","40Ar/39Ar age 244+/-1 Ma - see REFNO 2735",,
"968","3893","Upper Markha Region Intrusions Combined","Upper Markha Region, Russia","Asia","Siberian Platform","65.5","111.099998","intrusives, dolerites",,"P1-2","40 km","258","280","K-Ar","K-Ar age 258, 271+/-25, 280 Ma",,
"968","3894","Ygyattin Region Intrusions Combined","Ygyattin Region, Russia","Asia","Siberian Platform","63.9000015","115.0","intrusives, dolerites",,"P-T1","60 km","245","299","stratigraphic",,,
"2021","3895","Kolyma River Sediments","Kolyma River, Russia","Asia","Kolyma","69.5","161.0","sediments","Carnian","T3",,"217","228","stratigraphic",,,"Superseded study"
"2022","3896","Novaya Zemlya Sediments","Novaya Zemlya, Russia","Europe","Barentz-Pechoria","72.0","52.0","sediments, sandy clays","Olenek","T1",,"245","250","stratigraphic",,,
"2021","3897","Baltia Sediments","Russia","Europe","Russian Platform","55.0","21.0","sediments, sandy clays",,"T1",,"245","251","fossils",,,
"2022","3898","Novaya Zemlya Sediments","Novaya Zemlya, Russia","Europe","Barentz-Pechoria","72.0","52.0","sediments, sandy clays",,"T1",,"245","251","stratigraphic",,,
"2022","3899","Novaya Zemlya Sediments","Novaya Zemlya, Russia","Europe","Barentz-Pechoria","75.1999969","55.7999992","sediments, sandy clays",,"T1",,"245","251","fossils",,,
"2023","3900","East Taimyr Volcanics and Sediments Combined","E.Taimyr, Russia","Asia","Taimyr","75.0","114.0","extrusives,sediments,basalts,sandstones",,"T1",,"245","251","fossils",,,
"2024","3901","Middle Timan Sediments","Middle Timan, Russia","Europe","Barentz-Pechoria","66.0","51.0","sediments, sandstones","Induan","T1",,"250","251","fossils",,,
"2078","3902","Dixon Island Intrusions","Dixon Island, Russia","Asia","Taimyr","73.5","81.0","intrusives, dolerites",,"T1",,"245","251","stratigraphic",,,
"2078","3903","West Taimyr Volcanics","W.Taimyr, Russia","Asia","Taimyr","72.8000031","86.0","extrusives, basalts",,"T1",,"245","251","stratigraphic",,,
"2078","3904","West Taimyr Volcanics Combined","W.Taimyr, Russia","Asia","Taimyr","72.8000031","83.6999969","extrusives, basalts",,"T1",,"245","251","stratigraphic",,,
"2030","3905","Tuffolavova Series","Norilsk Area, Russia","Asia","Siberian Platform","69.0","88.0","extrusives,basalts",,"P3-T2",,"228","260","fossils",,,
"2021","3906","Central Taimyr Intrusions","Central Taimyr, Russia","Asia","Taimyr","75.1999969","100.0","intrusives, gabbro-dolerites",,"T1",,"245","251","stratigraphic",,,
"2021","3907","Central Taimyr Volcanics","Central Taimyr, Russia","Asia","Taimyr","74.9000015","100.5","extrusives, basalts",,"T1",,"245","251","stratigraphic",,,
"2078","3908","Central Taimyr Volcanics and Intrusions Combined","Central Taimyr, Russia","Asia","Taimyr","74.6999969","100.699997","intrusives,extrusives,basalts,dolerites",,"T1",,"245","251","stratigraphic",,,
"2025","3909","East Kazakhstan Volcanics Combined","East Kazakhstan","Asia","East Kazakhstan","47.5","80.0","extrusives, basalts, trachybasalts",,"T1",,"245","251","stratigraphic",,,
"2028","3910","Omolon Massif Sediments","Omolon Massif, Far East Russia","Asia","Kolyma","65.5","159.300003","sediments,siltstones,clays",,"T3-J1",,"176","228","fossils",,,
"2028","3911","Omolon Massif Sediments","Omolon Massif, Far East Russia","Asia","Kolyma","65.3000031","159.100006","sediments,sandstones,siltstones,clays","Carnian to Norian","T3",,"200","228","fossils",,,
"2028","3912","North Okhotie Region Sediments","North Okhotie Region, Russia","Asia","Kolyma","60.5","149.5","sediments,sandstones,siltstones","Ladinian to Carnian","T2-3",,"217","237","fossils",,,
"1982","3913","Severodvinsk Horizon","South Urals Region, Russia","Europe","Russian Platform","52.5","55.0","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"1981","3914","Upper Sarminsk Group","South Urals Region, Russia","Europe","Russian Platform","52.5","55.0","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"877","3915","Severodvinsk Horizon and Sarminsk Group Combined","South Urals Region, Russia","Europe","Russian Platform","52.5","55.0","sediments, redbeds","Tatarian","P2-3",,"251","263","fossils",,,"Superseded study"
"1981","3916","Krasnotsvetnaya Group","West Kazakhstan","Europe",,"48.5","52.0","sediments, sandy clays","Tatarian","P2-3",,"251","263","fossils",,,"Superseded study"
"1981","3917","Amanbulak Group","Turkmenistan","Asia","Turan","41.0","55.0","sediments, redbeds","Tatarian","P2-3",,"251","263","stratigraphic",,,"Superseded study"
"1981","3918","Upper Nersk Group","West Verkhoyansk Region, Russia","Asia",,"64.5","130.0","sediments, sandstones, siltstones","Tatarian","P2-3",,"251","263","fossils",,,"Superseded study"
"877","3919","Dronovsk Group","Donbass, Ukraine","Europe","Russian Platform","49.0","38.0","sediments, redbeds","Kazanian(?)","P2",,"263","267","stratigraphic",,,"Superseded study"
"309","3920","Dronovsk Group","Donbass, Ukraine","Europe","Russian Platform","49.0","38.0","sediments, redbeds","Kazanian(?)","P2",,"263","267","stratigraphic",,,"Superseded study"
"877","3921","Dronovsk Group Combined","Donbass, Ukraine","Europe","Russian Platform","49.0","38.0","sediments, redbeds","Kazanian(?)","P2",,"263","267","stratigraphic",,,"Superseded study"
"1982","3922","Nizhnetatarsk and Verkhnekazansk Groups","South Urals Region, Russia","Europe","Russian Platform","52.5","55.0","sediments, redbeds",,"P2",,"260","271","fossils",,,"Superseded study"
"2201","3923","Belaya River Clays","Belaya River, Russia","Europe","Russian Platform","55.5","55.0","sediments, redbeds","Ufimian","P2",,"268","271","fossils",,,"Superseded study"
"1982","3924","West Bashkirian Clays","West Bashkiria, Russia","Europe","Russian Platform","56.0","55.5","sediments, red clays","Ufimian","P2",,"268","271","fossils",,,"Superseded study"
"877","3925","West Bashkirian Clays Combined","West Bashkiria, Russia","Europe","Russian Platform","55.5999985","55.2999992","sediments, redbeds","Ufimian","P2",,"268","271","fossils",,,"Superseded study"
"1981","3926","Nizhnepechorsk Subgroup","Pechorsky Region, Russia","Europe","Barentz-Pechoria","65.5","58.0","sediments,sandstones,siltstones,clays","Kazanian","P2",,"263","267","fossils",,,"Superseded study"
"309","3927","Izvestnyakovo, Dolomitova and Solenosna Groups","Donbass, Ukraine","Europe","Russian Platform","49.0","38.5","sediments, redbeds","Late Asselian","P1",,"295","297","fossils",,,"Superseded study"
"2201","3928","Izvestnyakovo, Dolomitova and Solenosna Groups","Donbass, Ukraine","Europe","Russian Platform","48.5","38.0","sediments, redbeds","Late Asselian","P1",,"295","297","fossils",,,"Superseded study"
"877","3929","Izvestnyakovo, Dolomitova and Solenosna Groups Combined","Donbass, Ukraine","Europe","Russian Platform","49.0","38.2999992","sediments, redbeds","Late Asselian","P1",,"295","297","fossils",,,"Superseded study"
"877","3930","North Sections of Copper Sandstone Group","Donbass, Ukraine","Europe","Russian Platform","48.7000008","38.2000008","sediments, redbeds",,"C2-P1",,"271","305","fossils",,,"Superseded study"
"309","3931","South Section of Copper Sandstone Group","Donbass, Ukraine","Europe","Russian Platform","48.0","38.0","sediments, redbeds",,"C2-P1",,"271","305","fossils",,,"Superseded study"
"877","3932","South Section of Copper Sandstone Group","Sukhoi Yar Village, Ukraine","Europe","Russian Platform","48.0","38.0","sediments, redbeds",,"C2-P1",,"271","305","fossils",,,"Superseded study"
"877","3933","South Sections of Copper Sandstone Group Combined","Donbass, Ukraine","Europe","Russian Platform","48.0","38.0","sediments, redbeds",,"C2-P1",,"271","295","fossils",,,"Superseded study"
"2032","3934","Kiiminsk Group","East Kazakhstan","Asia","East Kazakhstan","52.0","67.5","sediments, redbeds",,"P1",,"271","299","fossils",,,
"2033","3935","Vyatka River Redbeds","Vyatka River, Russia","Europe","Russian Platform","58.0","48.0","sediments, redbeds","Late Tatarian","P3","65 km","251","257","fossils",,,
"2033","3936","Vyatka River Redbeds","Vyatka River, Russia","Europe","Russian Platform","56.0","51.0","sediments, redbeds","Early Tatarian","P2-3",,"257","263","fossils",,,
"2033","3937","Vyatka River Sediments","Vyatka River, Russia","Europe","Russian Platform","56.0","51.0","sediments, redbeds, marine sediments","Kazanian","P2","40 km","263","267","fossils",,,
"2034","3938","Kama River Sediments","Kama River, Russia","Europe","Russian Platform","55.5","50.5","sediments,limestones, redbeds","Late Kazanian","P2","70 km","263","265","fossils",,,"Superseded study"
"880","3939","Klintaiga Group","Angara River, Russia","Asia","Siberian Platform","58.5","102.5","sediments, clays, tuffs",,"P1",,"271","299","fossils",,,
"1989","3940","Vetluga River Redbeds","Vetluga River, Russia","Europe","Russian Platform","57.0","44.0","sediments, redbeds","Tatarian","P2-3",,"251","263","fossils",,,
"491","3941","Malokinelsk and Kutuluk Groups Combined","Trans-Volga Region, Russia","Europe","Russian Platform","53.5","52.0","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"1989","3942","Samara River Clays","Samara River, Russia","Europe","Russian Platform","53.0","51.0","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"491","3943","Buzuluk and Lesser Kinel River Clays","Lesser Kinel River, Russia","Europe","Russian Platform","53.0","52.5","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"491","3944","Obshchii Syrt Redbeds Combined","Obshchii Syrt, Russia","Europe","Russian Platform","52.9000015","52.2000008","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,
"491","3945","Amanak, Bolshekinelsk and Soksk Groups Combined","Trans-Volga Region, Russia","Europe","Russian Platform","54.2000008","52.5999985","sediments, redbeds","Early Tatarian to Late Kazanian","P2-3",,"257","267","fossils",,,"Superseded study"
"2042","3946","Central Urals Sediments","Central Urals, Russia","Europe","Russian Platform","57.0","56.0","sediments, siltstones, clays","Ufimian","P2",,"268","271","stratigraphic",,,"Superseded study"
"2042","3947","Kama Region Redbeds Combined","Kama Region, Russia","Europe","Russian Platform","59.0","57.0","sediments, redbeds","Ufimian","P2",,"268","271","fossils",,,"Superseded study"
"1990","3948","Ivakinsk and Kayerkansk Groups","Norilsk Area, Russia","Asia","Siberian Platform","69.0","88.0","extrusives,sediments,basalts,siltstones",,"P2-3",,"251","271","fossils",,,"Superseded study"
"2043","3949","Kuznets, Tailugan, Uskat, Kazanakono and Kuznets Groups","Kuzbass, Russia","Asia","Altai-Sayan","55.0","88.0","sediments,sandstones,siltstones,clays",,"P2-3","300 sq km","251","271","fossils",,,"Superseded study"
"2044","3950","Kuznets Group","Kuzbass, Russia","Asia","Altai-Sayan","54.0","87.0","sediments,sandstones,siltstones,clays",,"P2-3",,"251","271","fossils",,,"Superseded study"
"491","3951","Koltchuga Series Combined Result","Kuzbass, Russia","Asia","Altai-Sayan","55.0","88.0","sediments,sandstones,siltstones,clays",,"P2-3",,"251","271","fossils",,,
"2044","3952","Ishanovo and Promezhutochna Groups","Kuzbass, Russia","Asia","Altai-Sayan","54.0","87.0","sediments,sandstones,siltstones,clays",,"P1",,"271","299","fossils",,,"Superseded study"
"2043","3953","Promezhutochna Group","Kuzbass, Russia","Asia","Altai-Sayan","55.0","88.0","sediments,sandstones,siltstones,clays",,"P1","1000 sq km","271","299","fossils",,,"Superseded study"
"491","3954","Balakhonsk Series Combined","Kuzbass, Russia","Asia","Altai-Sayan","55.0","88.0","sediments,sandstones,siltstones,clays",,"P1",,"271","299","fossils",,,
"2132","3955","Shoksha Group","South Karelia, Russia","Europe","Baltica","61.5","35.5","sediments, sandstones",,"PP",,"1850","1950","Th-Pb,K-Ar",,"South Karelian Block","Superseded study"
"954","3956","Metamorphosed Sediments","Umkuveyem Depression, Far East Russia","Asia","Kolyma","65.0","166.0","metamorphics, metamorphosed sediments","Early Permian to Late Devonian","D3-P1",,"271","385","fossils",,,"Superseded study"
"2048","3957","Koltchuga Series","Kuzbass, Russia","Asia","Altai-Sayan","54.7999992","86.4000015","sediments, sandstones, siltstones",,"P3",,"251","260","fossils",,,
"2049","3958","Omolon, Chizhiga and Khivatch Groups","Omolon Massif, Far East Russia","Asia","Kolyma","63.0","160.0","sediments,limestones,sandstones,clays",,"P3",,"251","260","fossils",,,"Superseded study"
"954","3959","Khivatch Group","Omolon Massif, Far East Russia","Asia","Kolyma","63.0","159.100006","sediments,siltstones",,"P3",,"251","260","fossils",,,"Superseded study"
"947","3960","Omolon, Chizhiga and Khivatch Groups Combined","Omolon Massif, Far East Russia","Asia","Kolyma","63.0","159.699997","sediments,limestones,siltstones,clays",,"P3",,"251","260","fossils",,,
"2053","3961","Dolnapa, Otpan and Birkut Groups Combined","East Karatau Range, Kazakhstan","Asia","Turan","44.0","53.0","sediments,sandstones,siltstones",,"P3-T1",,"245","260","stratigraphic",,,"Superseded study"
"2053","3962","Basal Solimansk Horizon","Kama River, Russia","Europe","Russian Platform","58.5","56.5","sediments,limestones,sandstones","Ufimian","P2",,"268","271","stratigraphic",,,
"2054","3963","Central Timan Sediments","Central Timan, Russia","Europe","Barentz-Pechoria","66.0","51.0","sediments,limestones,redbeds","Ufimian(?)","P2",,"268","271","stratigraphic",,,"Superseded study"
"2055","3964","Ravash Group","West Tien Shan, Uzbekistan","Asia",,"41.0","70.0","extrusives,sediments,sandstones,tuffs",,"P2-3",,"251","271","stratigraphic",,,"Superseded study"
"2056","3965","Shurabsai Group","West Tien Shan, Uzbekistan","Asia",,"41.0","70.0","extrusives,sediments,basalts,tuffs",,"P1",,"271","299","fossils",,,"Superseded study"
"2057","3966","Kinyrchan Group","N.Caucasus, Russia","Europe","Sciphea","43.0","42.0","sediments, redbeds, sandstones, tuffs",,"P1",,"271","299","stratigraphic",,,
"2053","3967","Philippovsk and Kamai Groups","Sylva River, Russia","Europe","Russian Platform","57.5","57.0","sediments,limestones","Kungurian to Artinskian","P1","5 km","271","284","fossils",,,"Superseded study"
"2053","3968","Kama River Sediments","Kama River Basin, Russia","Europe","Russian Platform","59.0","57.0","sediments,limestones,sandstones",,"P1","10 km","271","299","fossils",,,"Superseded study"
"918","3969","Malaya Severnaya Dvina River Sediments","Malaya Severnaya Dvina River, Russia","Europe","Russian Platform","61.0","46.5","sediments,limestones,clays,marls","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"2059","3970","Yug River Sediments","Yug River, Russia","Europe","Russian Platform","60.7000008","46.5","sediments,clays, siltstones","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"2013","3971","Malaya Severnaya Dvina and Yug River Sediments","Malaya Severnaya Dvina and Yug Rivers, Russia","Europe","Russian Platform","60.7000008","46.4000015","sediments,clays,siltstones","Late Tatarian","P3","30 km","251","257","fossils",,,"Superseded study"
"968","3972","Malaya Severnaya Dvina and Yuh River Sediments Combined","Malaya Severnaya Dvina and Yug Rivers, Russia","Europe","Russian Platform","60.7999992","46.5","sediments,clays,marls,siltstones","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"918","3973","Sukhona River Redbeds","Sukhona River, Russia","Europe","Russian Platform","61.0","46.0","sediments, redbeds","Late Tatarian","P3","80 km","251","257","fossils",,,"Superseded study"
"2015","3974","Sukhona River Redbeds","Sukhona River, Russia","Europe","Russian Platform","60.0","44.0","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"968","3975","Sukhona River Redbeds Combined","Sukhona River, Russia","Europe","Russian Platform","60.7999992","45.2000008","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,
"918","3976","Sukhona River Redbeds","Sukhona River, Russia","Europe","Russian Platform","61.0","44.0","sediments, redbeds","Late Tatarian","P3","5 km","251","257","fossils",,,"Superseded study"
"2201","3977","Sukhona River Redbeds","Sukhona River, Russia","Europe","Russian Platform","60.5","44.0","sediments, redbeds","Late Tatarian","P3","200 km","251","257","fossils",,,"Superseded study"
"2015","3978","Sukhona River Sediments","Sukhona River, Russia","Europe","Russian Platform","60.0","44.0","sediments,limestones, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"968","3979","Sukhona River Sediments Combined","Sukhona River, Russia","Europe","Russian Platform","60.5999985","44.2000008","sediments, redbeds, limestones","Late Tatarian","P3",,"251","257","fossils",,,
"2017","3980","Vyatka River Redbeds","Vyatka River, Russia","Europe","Russian Platform","59.0","51.0","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"2016","3981","Vyatka River Redbeds","Vyatka River, Russia","Europe","Russian Platform","59.0","51.0","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"2201","3982","Vyatka River Redbeds","Vyatka River, Russia","Europe","Russian Platform","59.0","50.5","sediments, redbeds","Late Tatarian","P3","80 km","251","257","fossils",,,"Superseded study"
"2015","3983","Vyatka River Redbeds","Vyatka River, Russia","Europe","Russian Platform","59.0","50.0","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"968","3984","Vyatka River Redbeds Combined","Vyatka River, Russia","Europe","Russian Platform","59.0","50.7999992","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,
"2201","3985","Volga River Redbeds","Volga River, Russia","Europe","Russian Platform","55.0","49.0","sediments, redbeds","Late Tatarian","P3","5 km","251","257","fossils",,,"Superseded study"
"2016","3986","Volga River Redbeds","Volga River, Russia","Europe","Russian Platform","55.0","49.0","sediments, redbeds","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"2015","3987","Volga River Sediments","Volga River, Russia","Europe","Russian Platform","55.0","49.0","sediments, redbeds, limestones","Late Tatarian","P3",,"251","257","fossils",,,"Superseded study"
"968","3988","Volga River Sediments Combined","Volga River, Russia","Europe","Russian Platform","55.0","49.0","sediments, redbeds, limestones","Late Tatarian","P3",,"251","257","fossils",,,
